Name ,A,d,tw,tw/2,bf,tf,kdes,kdet,k1,lbf,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,rts,ho,J,Cw
W33X221,65.3,33.9,0.775,0.3875,15.8,1.28,2.06,2  1/2 ,1  5/8 ,221,12900,759,14.1,857,840,106,3.59,164,4.25,32.6,27.8,224000
W33X201,59.1,33.7,0.715,0.3575,15.7,1.15,1.94,2  7/16,1  9/16,201,11600,686,14,773,749,95.2,3.56,147,4.21,32.6,20.8,198000
W33X169,49.5,33.8,0.67,0.335,11.5,1.22,1.92,2  7/16,1  9/16,169,9290,549,13.7,629,310,53.9,2.5,84.4,3.03,32.6,17.7,82400
W33X152,44.9,33.5,0.635,0.3175,11.6,1.06,1.76,2  5/16,1  1/2 ,152,8160,487,13.5,559,273,47.2,2.47,73.9,3.01,32.4,12.4,71700
W33X141,41.5,33.3,0.605,0.3025,11.5,0.96,1.66,2  3/16,1  1/2 ,141,7450,448,13.4,514,246,42.7,2.43,66.9,2.98,32.3,9.7,64400
W33X130,38.3,33.1,0.58,0.29,11.5,0.855,1.56,2  1/8 ,1  1/2 ,130,6710,406,13.2,467,218,37.9,2.39,59.5,2.94,32.2,7.37,56600
W33X118,34.7,32.9,0.55,0.275,11.5,0.74,1.44,2,1  1/2 ,118,5900,359,13,415,187,32.6,2.32,51.3,2.89,32.2,5.3,48300
W30X391,115,33.2,1.36,0.68,15.6,2.44,3.23,3  3/4 ,1  7/8 ,391,20700,1250,13.4,1450,1550,198,3.67,310,4.37,30.8,173,366000
W30X357,105,32.8,1.24,0.62,15.5,2.24,3.03,3  1/2 ,1 13/16,357,18700,1140,13.3,1320,1390,179,3.64,279,4.31,30.6,134,324000
W30X326,95.9,32.4,1.14,0.57,15.4,2.05,2.84,3  5/16,1  3/4 ,326,16800,1040,13.2,1190,1240,162,3.6,252,4.26,30.4,103,287000
W30X292,86,32,1.02,0.51,15.3,1.85,2.64,3  1/8 ,1  3/4 ,292,14900,930,13.2,1060,1100,144,3.58,223,4.22,30.2,75.2,250000
W30X261,77,31.6,0.93,0.465,15.2,1.65,2.44,2 15/16,1 11/16,261,13100,829,13.1,943,959,127,3.53,196,4.16,30,54.1,215000
W30X235,69.3,31.3,0.83,0.415,15.1,1.5,2.29,2  3/4 ,1  5/8 ,235,11700,748,13,847,855,114,3.51,175,4.13,29.8,40.3,190000
W30X211,62.3,30.9,0.775,0.3875,15.1,1.32,2.1,2  9/16,1  5/8 ,211,10300,665,12.9,751,757,100,3.49,155,4.11,29.6,28.4,166000
